feed_id,agency,country,n_bus_trips,n_travel_times,n_distinct_travel_times,median_travel_time_s,temporal_resolution_s,share_travel_times_whole_minute,share_stop_times_whole_minute,timepoint_status,approximate_share,share_timepoints_whole_minute,share_approx_whole_minute,interpolation_basis,n_approx_testable,share_approx_on_line,n_timepoints_testable,share_timepoints_on_line,n_control_modes,has_control_baseline,bus_peak_to_peak_s,segregated_peak_to_peak_s,bus_exceeds_own_control
jbda-aichi-miyoshicity-sansanbus,みよし市,JP,92,2831,10,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
jbda-akashicity-tacobustacobusmini,明石市,JP,229,4262,9,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.0,,
jbda-anjocity-AnkuruBus,安城市,JP,126,2758,10,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
jbda-annakacity-annakashi-rosenbus,安中市,JP,58,1912,5,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
jbda-aoi-komaki-aoikotsu,あおい交通,JP,147,1948,13,120.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,12.976744186046512,,
jbda-ashiyatown-AshiyaTownBus,芦屋町,JP,67,925,4,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,5.454545454545454,,
jbda-awajicity-awajinawahimebus,淡路市,JP,67,3035,12,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
jbda-buzencity-BuzenCityBus,豊前市,JP,63,1886,4,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.0,,
jbda-chigasakicity-eboshigou,茅ヶ崎市,JP,61,2023,8,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
jbda-chikuma-bus-rosenbus,千曲バス株式会社,JP,99,3979,9,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
jbda-chikumacity-chikumajunkanbus,千曲市,JP,62,1954,8,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
jbda-chiryucity-communitybus,知立市,JP,50,1381,10,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.0,,
jbda-chitabus-chitabus,知多乗合（知多バス）,JP,258,3841,19,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,5.084745762711864,,
