feed_id,agency,country,fail_reason
jbda-agematsutown-agematu,上松町,JP,insufficient fixed-route bus service
jbda-aketetsu-akechirailway,明知鉄道,JP,insufficient fixed-route bus service
jbda-akicity-GTFS-Akicity_Bus,安芸市,JP,insufficient fixed-route bus service
jbda-akocity-teijuurou,赤穂市,JP,insufficient fixed-route bus service
jbda-akocity-yuranosuke,赤穂市,JP,insufficient fixed-route bus service
jbda-amacity-amashijunkaibasu,あま市,JP,insufficient fixed-route bus service
jbda-andotown-andocombus,安堵町,JP,insufficient fixed-route bus service
jbda-aokivillage-aokisoneibus,青木村,JP,insufficient fixed-route bus service
jbda-arakawacity-sakura,荒川区,JP,insufficient fixed-route bus service
jbda-aridagawatown-aridagawatownbus,有田川町,JP,insufficient fixed-route bus service
jbda-asatetu-asakaigantetsudo,阿佐海岸鉄道株式会社,JP,insufficient fixed-route bus service
jbda-awajicity-awaji-jenova-line-akashi-iwaya,淡路市,JP,insufficient fixed-route bus service
jbda-busnet-tsu-guruttotsubus,バスネット津,JP,insufficient fixed-route bus service
jbda-chikugocity-HainuzukaStationAreaLoopBus,筑後市,JP,insufficient fixed-route bus service
jbda-chikujotown-ChikujoTownCommunityBus,築上町,JP,insufficient fixed-route bus service
jbda-chitacity-chita-aiaibus,知多市,JP,insufficient fixed-route bus service
jbda-dazaifucity-DazaifuCityCommunityBus,太宰府市,JP,insufficient fixed-route bus service
jbda-feel-the-zao-feelthezao,「世界の蔵王」プロジェクト実行委員会,JP,insufficient fixed-route bus service
jbda-fukauratown-fukaura-town-communitybus,深浦町,JP,insufficient fixed-route bus service
jbda-fukuoka-kawasakitown-KawasakiTownFureaiBus,川崎町,JP,insufficient fixed-route bus service
jbda-fukuoka-kogacity-KogaBus,古賀市,JP,insufficient fixed-route bus service
jbda-fukuokacity-ImajukuMeinohamaLine,福岡市,JP,insufficient fixed-route bus service
jbda-fukusakitown-junkai-fukuhime-fukusakikasairenkei,福崎町,JP,insufficient fixed-route bus service
jbda-fukutsucity-minibus,福津市,JP,insufficient fixed-route bus service
jbda-gan-wu-shiokazeline,岩宇地域公共交通活性化協議会,JP,insufficient fixed-route bus service
jbda-geiseivillage-GTFS-Geiseivill_Bus,芸西村,JP,insufficient fixed-route bus service
jbda-gifu-yamagatacity-communitybus,山県市,JP,insufficient fixed-route bus service
jbda-goshogawaracity-goshogawara-communitybus,五所川原市,JP,insufficient fixed-route bus service
jbda-hachikanbus-hachimanbus,八幡観光バス,JP,insufficient fixed-route bus service
jbda-hachinohecity-hachinohe-nango,八戸市,JP,insufficient fixed-route bus service
jbda-hamabus-iwata_seikatsubus,浜松バス株式会社,JP,insufficient fixed-route bus service
jbda-hanamakicity-hanamaki,花巻市,JP,insufficient fixed-route bus service
jbda-hannocity-odekakemuma-haraichiba,飯能市,JP,insufficient fixed-route bus service
jbda-hannocity-odekakemuma-minamikoma,飯能市,JP,insufficient fixed-route bus service
jbda-hannocity-odekakemuma-seimei-kaji,飯能市,JP,insufficient fixed-route bus service
jbda-hashikamitown-hashikamibus,階上町,JP,insufficient fixed-route bus service
jbda-hayashimatown-hayashimatowncommunitybus,早島町,JP,insufficient fixed-route bus service
jbda-hekinancity-kurukuru-bus,碧南市,JP,insufficient fixed-route bus service
jbda-hichisotown-choeibus,七宗町,JP,insufficient fixed-route bus service
jbda-higashimiyoshitown-higashimiyoshitownbus,東みよし町,JP,insufficient fixed-route bus service
jbda-higashinecity-HigashineCity,東根市,JP,insufficient fixed-route bus service
jbda-hiradocity-fureaibus,平戸市,JP,insufficient fixed-route bus service
jbda-hirakawacity-hirakawa-sharedtaxi,平川市,JP,insufficient fixed-route bus service
jbda-hirosakicity-kounan-tetsudou,弘前市,JP,insufficient fixed-route bus service
jbda-ichikawamisatotown-ichikawamisatobus,市川三郷町,JP,insufficient fixed-route bus service
jbda-ichikawatown-communitybus,市川町,JP,insufficient fixed-route bus service
jbda-iijimatown-iichanbus,飯島町,JP,insufficient fixed-route bus service
jbda-iiyamacity-nanohanabus,飯山市,JP,insufficient fixed-route bus service
jbda-imaricity-imarinbus,伊万里市,JP,insufficient fixed-route bus service
jbda-inagawatown-fureaibus,猪名川町,JP,insufficient fixed-route bus service
jbda-inotown-GTFS-Inotown_HongawaArea,いの町,JP,insufficient fixed-route bus service
jbda-inotown-GTFS-Inotown_Loopbus,いの町,JP,insufficient fixed-route bus service
jbda-isetetu-iserailway,伊勢鉄道,JP,insufficient fixed-route bus service
jbda-ishikariwanshinko-on-demandtransit_itsumo,石狩湾新港地域公共交通サービス推進協議会,JP,insufficient fixed-route bus service
jbda-iwadecity-junkaibus,岩出市,JP,insufficient fixed-route bus service
